duration,credit_amount,savings_status,employment,property_magnitude,age,own_telephone,class
6,1169,'no known savings','>=7','real estate',67,,good
48,5951,'<100','1<=X<4','real estate',22,,bad
12,2096,'<100','4<=X<7','real estate',49,,good
42,7882,'<100','4<=X<7','life insurance',45,none,good
24,4870,'<100','1<=X<4','no known property',53,,bad
36,9055,'no known savings','1<=X<4','no known property',35,,good
24,,'500<=X<1000','>=7','life insurance',53,,good
36,,'<100','1<=X<4',car,35,,good
12,,'>=1000','4<=X<7','real estate',61,,good
30,,'<100',unemployed,car,28,,bad
12,,'<100','<1',car,25,,bad
48,,'<100','<1','life insurance',24,,bad
12,1567,'<100','1<=X<4',car,22,,good
24,1199,'<100','>=7',car,60,,bad
15,1403,'<100','1<=X<4',car,28,,good
24,1282,'100<=X<500','1<=X<4',car,32,,bad
24,2424,'no known savings','>=7','life insurance',53,,good
30,8072,'no known savings','<1',car,25,,good
24,12579,'<100','>=7','no known property',44,,bad
24,3430,'500<=X<1000','>=7',car,31,,good
9,2134,'<100','1<=X<4',car,48,,good
6,2647,'500<=X<1000','1<=X<4','real estate',44,,good
10,2241,'<100','<1','real estate',48,,good
12,1804,'100<=X<500','<1','life insurance',44,,good
10,2069,'no known savings','1<=X<4',car,26,,good
6,1374,'<100','1<=X<4','real estate',36,,good
6,426,'<100','>=7',car,39,,good
12,409,'>=1000','1<=X<4','real estate',42,,good
7,2415,'<100','1<=X<4','real estate',34,,good
60,6836,'<100','>=7','no known property',63,,bad
18,1913,'>=1000','<1','real estate',36,,good
24,4020,'<100','1<=X<4',car,27,,good
18,5866,'100<=X<500','1<=X<4',car,30,,good
12,1264,'no known savings','>=7','no known property',57,,good
12,1474,'<100','<1','life insurance',33,,good
45,4746,'<100','<1','life insurance',25,,bad
48,6110,'<100','1<=X<4','no known property',31,,good
18,2100,'<100','1<=X<4','real estate',37,none,bad
10,1225,'<100','1<=X<4',car,37,,good
9,458,'<100','1<=X<4','real estate',24,,good
30,2333,'500<=X<1000','>=7',car,30,,good
12,1158,'500<=X<1000','1<=X<4',car,26,,good
18,6204,'<100','1<=X<4','real estate',44,,good
30,6187,'100<=X<500','4<=X<7',car,24,,good
48,6143,'<100','>=7','no known property',58,,bad
11,1393,'<100','<1',car,35,,good
36,2299,'500<=X<1000','>=7',car,39,,good
6,1352,'500<=X<1000',unemployed,'life insurance',23,,good
11,7228,'<100','1<=X<4','life insurance',39,,good
12,2073,'100<=X<500','1<=X<4','real estate',28,,good
24,2333,'no known savings','<1','life insurance',29,,good
27,5965,'<100','>=7',car,30,,good
12,1262,'<100','1<=X<4',car,25,,good
18,3378,'no known savings','1<=X<4','life insurance',31,,good
36,2225,'<100','>=7','no known property',57,,bad
6,783,'no known savings','1<=X<4','real estate',26,,good
12,6468,'no known savings',unemployed,'no known property',52,,bad
36,9566,'<100','1<=X<4',car,31,,good
18,1961,'<100','>=7',car,23,,good
36,6229,'<100','<1','no known property',23,,bad
9,1391,'<100','1<=X<4','real estate',27,,good
15,1537,'no known savings','>=7','real estate',50,,good
36,,'<100','>=7','no known property',61,,bad
48,,'<100','1<=X<4',car,25,,bad
24,,'<100','<1','life insurance',26,,good
27,,'no known savings','>=7','life insurance',48,none,good
12,,'<100','<1',car,29,none,good
12,1007,'>=1000','1<=X<4','real estate',22,none,good
36,1819,'<100','1<=X<4','no known property',37,none,bad
36,2394,'no known savings','1<=X<4',car,25,none,good
36,8133,'<100','1<=X<4','life insurance',30,,good
7,730,'no known savings','>=7','life insurance',46,,good
8,1164,'<100','>=7','no known property',51,,good
42,5954,'<100','4<=X<7','real estate',41,,good
36,1977,'no known savings','>=7','no known property',40,,bad
12,1526,'<100','>=7','no known property',66,,good
42,3965,'<100','<1',car,34,,bad
11,4771,'<100','4<=X<7','life insurance',51,,good
54,9436,'no known savings','1<=X<4','life insurance',39,,good
30,3832,'<100','<1','life insurance',22,,good
24,5943,'no known savings','<1',car,44,,bad
15,1213,'500<=X<1000','>=7','life insurance',47,,good
18,1568,'100<=X<500','1<=X<4','life insurance',24,,good
24,1755,'<100','>=7','real estate',58,,good
10,2315,'<100','>=7','real estate',52,,good
12,1412,'<100','1<=X<4','real estate',29,,good
18,1295,'<100','<1','life insurance',27,,good
36,12612,'100<=X<500','1<=X<4','no known property',47,,bad
18,2249,'100<=X<500','4<=X<7',car,30,,good
12,,'<100','4<=X<7','real estate',28,,bad
12,,'<100','>=7','real estate',56,,good
12,,'<100','>=7','real estate',54,,good
12,797,'no known savings','>=7','life insurance',33,,bad
24,3617,'no known savings','>=7','no known property',20,,good
12,1318,'>=1000','>=7','real estate',54,,good
54,15945,'<100','<1','no known property',58,,bad
12,2012,'no known savings','4<=X<7',car,61,,good
18,2622,'100<=X<500','1<=X<4',car,34,,good
36,2337,'<100','>=7','real estate',36,,good
20,7057,'no known savings','4<=X<7','life insurance',36,,good
24,1469,'100<=X<500','>=7','real estate',41,,good
36,2323,'<100','4<=X<7',car,24,,good
6,932,'<100','1<=X<4','real estate',24,,good
9,1919,'<100','4<=X<7',car,35,,good
12,2445,'no known savings','<1',car,26,,good
24,11938,'<100','1<=X<4',car,39,,bad
18,6458,'<100','>=7','no known property',39,,bad
12,6078,'<100','4<=X<7',car,32,,good
24,7721,'no known savings','<1','life insurance',30,,good
14,1410,'500<=X<1000','>=7','real estate',35,,good
6,1449,'100<=X<500','>=7',car,31,,good
15,392,'<100','<1','life insurance',23,,good
18,6260,'<100','4<=X<7','real estate',28,,good
36,7855,'<100','1<=X<4','real estate',25,,bad
12,1680,'500<=X<1000','>=7','real estate',35,,good
48,3578,'no known savings','>=7','real estate',47,,good
42,7174,'no known savings','4<=X<7',car,30,,bad
10,2132,'no known savings','<1','real estate',27,,good
33,4281,'500<=X<1000','1<=X<4',car,23,,bad
12,2366,'500<=X<1000','4<=X<7',car,36,,good
21,1835,'<100','1<=X<4','real estate',25,,bad
24,3868,'<100','>=7',car,41,none,good
12,1768,'<100','1<=X<4','real estate',24,,good
10,781,'<100','>=7','no known property',63,,good
18,1924,'no known savings','<1','real estate',27,,bad
12,2121,'<100','1<=X<4','life insurance',30,,good
12,701,'<100','1<=X<4','real estate',40,,good
12,639,'<100','1<=X<4',car,30,,bad
12,1860,'<100',unemployed,car,34,,good
12,3499,'<100','1<=X<4','real estate',29,,bad
48,8487,'no known savings','4<=X<7',car,24,,good
36,,'<100','1<=X<4','life insurance',29,,bad
15,,'<100','<1','life insurance',27,,good
18,,'<100','1<=X<4','no known property',47,,good
60,,'100<=X<500','4<=X<7','real estate',21,,good
12,,'no known savings','>=7','real estate',38,yes,good
27,8613,'>=1000','1<=X<4',car,27,yes,good
12,766,'500<=X<1000','1<=X<4','real estate',66,yes,bad
15,2728,'no known savings','4<=X<7','real estate',35,yes,good
12,1881,'<100','1<=X<4',car,44,,good
6,709,'>=1000','<1','real estate',27,,good
36,4795,'<100','<1','no known property',30,,good
27,3416,'<100','1<=X<4',car,27,,good
18,2462,'<100','1<=X<4',car,22,,bad
21,2288,'<100','<1','life insurance',23,,good
48,3566,'100<=X<500','4<=X<7',car,30,,good
