,race/ethnicity,parental level of education,lunch,test preparation course,math percentage,reading score percentage,writing score percentage,sex
0,group B,bachelor's degree,standard,none,0.72,0.72,0.74,F
1,group C,some college,standard,completed,0.69,0.9,0.88,F
2,group B,master's degree,standard,none,0.9,0.95,0.93,F
3,group A,associate's degree,free/reduced,none,0.47,0.57,0.44,M
4,group C,some college,standard,none,0.76,0.78,0.75,M
5,group B,associate's degree,standard,none,0.71,0.83,0.78,F
6,group B,some college,standard,completed,0.88,0.95,0.92,F
7,group B,some college,free/reduced,none,0.4,0.43,0.39,M
8,group D,high school,free/reduced,completed,0.64,0.64,0.67,M
9,group B,high school,free/reduced,none,0.38,0.6,0.5,F
10,group C,associate's degree,standard,none,0.58,0.54,0.52,M
11,group D,associate's degree,standard,none,0.4,0.52,0.43,M
12,group B,high school,standard,none,0.65,0.81,0.73,F
13,group A,some college,standard,completed,0.78,0.72,0.7,M
14,group A,master's degree,standard,none,0.5,0.53,0.58,F
15,group C,some high school,standard,none,0.69,0.75,0.78,F
16,group C,high school,standard,none,0.88,0.89,0.86,M
17,group B,some high school,free/reduced,none,0.18,0.32,0.28,F
18,group C,master's degree,free/reduced,completed,0.46,0.42,0.46,M
19,group C,associate's degree,free/reduced,none,0.54,0.58,0.61,F
20,group D,high school,standard,none,0.66,0.69,0.63,M
21,group B,some college,free/reduced,completed,0.65,0.75,0.7,F
22,group D,some college,standard,none,0.44,0.54,0.53,M
23,group C,some high school,standard,none,0.69,0.73,0.73,F
24,group D,bachelor's degree,free/reduced,completed,0.74,0.71,0.8,M
25,group A,master's degree,free/reduced,none,0.73,0.74,0.72,M
26,group B,some college,standard,none,0.69,0.54,0.55,M
27,group C,bachelor's degree,standard,none,0.67,0.69,0.75,F
28,group C,high school,standard,none,0.7,0.7,0.65,M
29,group D,master's degree,standard,none,0.62,0.7,0.75,F
30,group D,some college,standard,none,0.69,0.74,0.74,F
31,group B,some college,standard,none,0.63,0.65,0.61,F
32,group E,master's degree,free/reduced,none,0.56,0.72,0.65,F
33,group D,some college,standard,none,0.4,0.42,0.38,M
34,group E,some college,standard,none,0.97,0.87,0.82,M
35,group E,associate's degree,standard,completed,0.81,0.81,0.79,M
36,group D,associate's degree,standard,none,0.74,0.81,0.83,F
37,group D,some high school,free/reduced,none,0.5,0.64,0.59,F
38,group D,associate's degree,free/reduced,completed,0.75,0.9,0.88,F
39,group B,associate's degree,free/reduced,none,0.57,0.56,0.57,M
40,group C,associate's degree,free/reduced,none,0.55,0.61,0.54,M
41,group C,associate's degree,standard,none,0.58,0.73,0.68,F
42,group B,associate's degree,standard,none,0.53,0.58,0.65,F
43,group B,some college,free/reduced,completed,0.59,0.65,0.66,M
44,group E,associate's degree,free/reduced,none,0.5,0.56,0.54,F
45,group B,associate's degree,standard,none,0.65,0.54,0.57,M
46,group A,associate's degree,standard,completed,0.55,0.65,0.62,F
47,group C,high school,standard,none,0.66,0.71,0.76,F
48,group D,associate's degree,free/reduced,completed,0.57,0.74,0.76,F
49,group C,high school,standard,completed,0.82,0.84,0.82,M
50,group E,some college,standard,none,0.53,0.55,0.48,M
51,group E,associate's degree,free/reduced,completed,0.77,0.69,0.68,M
52,group C,some college,standard,none,0.53,0.44,0.42,M
53,group D,high school,standard,none,0.88,0.78,0.75,M
54,group C,some high school,free/reduced,completed,0.71,0.84,0.87,F
55,group C,high school,free/reduced,none,0.33,0.41,0.43,F
56,group E,associate's degree,standard,completed,0.82,0.85,0.86,F
57,group D,associate's degree,standard,none,0.52,0.55,0.49,M
58,group D,some college,standard,completed,0.58,0.59,0.58,M
59,group C,some high school,free/reduced,none,0.0,0.17,0.1,F
60,group E,bachelor's degree,free/reduced,completed,0.79,0.74,0.72,M
61,group A,some high school,free/reduced,none,0.39,0.39,0.34,M
62,group A,associate's degree,free/reduced,none,0.62,0.61,0.55,M
63,group C,associate's degree,standard,none,0.69,0.8,0.71,F
64,group D,some high school,standard,none,0.59,0.58,0.59,F
65,group B,some high school,standard,none,0.67,0.64,0.61,M
66,group D,some high school,free/reduced,none,0.45,0.37,0.37,M
67,group C,some college,standard,none,0.6,0.72,0.74,F
68,group B,associate's degree,free/reduced,none,0.61,0.58,0.56,M
69,group C,associate's degree,standard,none,0.39,0.64,0.57,F
70,group D,some college,free/reduced,completed,0.58,0.63,0.73,F
71,group D,some college,standard,completed,0.63,0.55,0.63,M
72,group A,associate's degree,free/reduced,none,0.41,0.51,0.48,F
73,group C,some high school,free/reduced,none,0.61,0.57,0.56,M
74,group C,some high school,standard,none,0.49,0.49,0.41,M
75,group B,associate's degree,free/reduced,none,0.44,0.41,0.38,M
76,group E,some high school,standard,none,0.3,0.26,0.22,M
77,group A,bachelor's degree,standard,completed,0.8,0.78,0.81,M
78,group D,some high school,standard,completed,0.61,0.74,0.72,F
79,group E,master's degree,standard,none,0.62,0.68,0.68,F
80,group B,associate's degree,standard,none,0.47,0.49,0.5,F
81,group B,high school,free/reduced,none,0.49,0.45,0.45,M
82,group A,some college,free/reduced,completed,0.5,0.47,0.54,M
83,group E,associate's degree,standard,none,0.72,0.64,0.63,M
84,group D,high school,free/reduced,none,0.42,0.39,0.34,M
85,group C,some college,standard,none,0.73,0.8,0.82,F
86,group C,some college,free/reduced,none,0.76,0.83,0.88,F
87,group D,associate's degree,standard,none,0.71,0.71,0.74,F
88,group A,some college,standard,none,0.58,0.7,0.67,F
89,group D,some high school,standard,none,0.73,0.86,0.82,F
90,group C,bachelor's degree,standard,none,0.65,0.72,0.74,F
