# A sample of yellocab taxi trip data from Jan 2017
pickup_datetime,dropoff_datetime,trip_distance,fare_amount,tip_amount,payment_type,day_of_week,is_weekend
2017-01-05 14:49:04,2017-01-05 14:53:53,0.89,5.5,1.26,Credit card,3,True
2017-01-15 01:07:22,2017-01-15 01:26:47,2.7,14.0,0.0,Cash,6,False
2017-01-29 09:55:00,2017-01-29 10:04:43,1.41,8.0,0.0,Cash,6,False
2017-01-10 05:40:12,2017-01-10 05:42:22,0.4,4.0,0.0,Cash,1,True
2017-01-06 17:02:48,2017-01-06 17:16:10,2.3,11.0,0.0,Cash,4,True
2017-01-14 19:03:14,2017-01-14 19:08:41,0.8,5.5,,Credit card,5,True
2017-01-06 18:51:52,2017-01-06 18:55:45,0.2,4.5,0.0,Cash,4,True
2017-01-04 20:47:30,2017-01-04 21:01:24,2.68,11.5,,Credit card,2,True
2017-01-21 09:44:28,2017-01-21 09:48:13,0.6,4.5,0.0,Cash,5,True
2017-01-26 21:33:23,2017-01-26 21:39:04,0.9,6.0,1.45,Credit card,3,True
2017-01-22 21:49:14,2017-01-22 21:54:15,0.85,5.5,1.36,Credit card,6,False
2017-01-24 18:07:27,2017-01-24 18:32:27,6.5,24.0,5.15,Credit card,1,True
2017-01-22 19:43:11,2017-01-22 19:45:39,0.3,3.5,1.0,Credit card,6,False
2017-01-14 06:08:55,2017-01-14 06:30:20,7.22,24.0,0.0,Cash,5,True
2017-01-17 16:04:39,2017-01-17 16:25:14,1.1,13.0,0.0,Cash,1,True
2017-01-09 11:24:26,2017-01-09 11:46:57,8.1,26.0,6.45,Credit card,0,True
2017-01-11 19:44:22,2017-01-11 19:49:39,1.3,6.0,1.55,Credit card,2,True
2017-01-20 18:06:07,2017-01-20 18:18:32,0.5,8.5,0.0,Cash,4,True
2017-01-31 20:15:45,2017-01-31 20:28:51,1.84,10.0,3.39,Credit card,1,True
2017-01-21 16:00:48,2017-01-21 16:16:22,1.3,10.5,3.35,Credit card,5,True
2017-01-24 19:23:22,2017-01-24 19:33:17,1.77,9.0,2.16,Credit card,1,True
2017-01-20 14:41:00,2017-01-20 14:45:38,0.87,5.5,0.0,Cash,4,True
2017-01-12 22:04:00,2017-01-12 22:26:35,4.7,18.5,3.95,Credit card,3,True
2017-01-18 20:30:30,2017-01-18 20:39:15,1.2,7.5,1.75,Credit card,2,True
2017-01-11 17:09:12,2017-01-11 17:23:32,1.6,10.5,2.46,Credit card,2,True
2017-01-24 18:22:01,2017-01-24 18:31:37,1.4,8.5,0.0,Cash,1,True
2017-01-13 20:20:53,2017-01-13 20:47:13,8.0,26.0,5.45,Credit card,4,True
2017-01-12 17:15:59,2017-01-12 17:24:25,1.4,7.5,1.5,Credit card,3,True
2017-01-25 19:54:40,2017-01-25 20:03:33,1.22,7.5,1.86,Credit card,2,True
2017-01-01 04:05:31,2017-01-01 04:09:41,0.8,5.0,0.0,Credit card,6,False
2017-01-21 12:51:52,2017-01-21 12:59:46,1.4,7.5,2.05,Credit card,5,True
2017-01-27 13:12:53,2017-01-27 13:27:22,1.82,10.0,0.0,Cash,4,True
2017-01-27 19:28:24,2017-01-27 19:50:33,8.9,27.0,5.0,Credit card,4,True
2017-01-30 11:11:48,2017-01-30 11:40:23,4.53,21.0,0.0,Cash,0,True
2017-01-31 18:46:27,2017-01-31 18:49:05,0.71,4.0,1.0,Credit card,1,True
2017-01-04 22:25:19,2017-01-04 22:41:00,3.46,14.0,1.53,Credit card,2,True
2017-01-16 23:20:23,2017-01-16 23:33:30,5.58,18.0,3.86,Credit card,0,True
2017-01-26 17:15:10,2017-01-26 17:36:33,3.26,15.5,1.73,Credit card,3,True
2017-01-09 23:22:42,2017-01-09 23:33:42,2.75,11.0,0.0,Cash,0,True
2017-01-15 14:49:22,2017-01-15 15:22:16,7.25,27.0,3.0,Credit card,6,False
2017-01-24 17:40:10,2017-01-24 17:49:20,1.39,7.5,0.0,Cash,1,True
2017-01-16 09:03:50,2017-01-16 09:09:25,1.17,6.0,1.36,Credit card,0,True
2017-01-04 00:21:50,2017-01-04 00:35:17,3.1,12.5,3.45,Credit card,2,True
2017-01-16 22:22:46,2017-01-16 22:32:03,1.6,8.5,,Cash,0,True
2017-01-16 23:08:55,2017-01-16 23:23:41,3.56,13.5,2.96,Credit card,0,True
2017-01-05 18:39:04,2017-01-05 18:50:45,1.8,9.5,2.25,Credit card,3,True
2017-01-31 13:57:22,2017-01-31 14:24:21,2.56,17.0,0.0,Credit card,1,True
2017-01-18 19:35:54,2017-01-18 19:50:56,1.5,10.5,0.0,Cash,2,True
2017-01-05 15:01:24,2017-01-05 15:17:13,1.99,11.5,0.0,Cash,3,True
2017-01-20 14:49:49,2017-01-20 14:55:07,0.6,5.5,1.25,Credit card,4,True
2017-01-31 01:55:12,2017-01-31 02:00:45,0.8,6.0,,Credit card,1,True
2017-01-24 21:24:24,2017-01-24 21:46:49,3.18,16.0,0.0,Cash,1,True
2017-01-12 21:16:22,2017-01-12 21:19:49,0.6,4.5,1.0,Credit card,3,True
2017-01-07 12:37:54,2017-01-07 12:40:27,0.4,3.5,1.08,Credit card,5,True
2017-01-07 09:58:17,2017-01-07 10:15:04,5.7,18.5,3.85,Credit card,5,True
2017-01-22 13:42:09,2017-01-22 13:59:41,2.5,13.0,2.0,Credit card,6,False
2017-01-13 19:12:37,2017-01-13 19:19:06,0.84,6.0,1.56,Credit card,4,True
2017-01-19 15:18:57,2017-01-19 15:32:20,1.36,9.5,1.03,Credit card,3,True
2017-01-23 07:25:39,2017-01-23 07:34:39,1.5,8.0,1.5,Credit card,0,True
2017-01-13 23:03:38,2017-01-13 23:18:51,2.94,12.5,0.0,Cash,4,True
2017-01-19 21:29:55,2017-01-19 21:47:16,4.06,15.5,0.0,Cash,3,True
2017-01-04 14:53:29,2017-01-04 14:59:50,1.07,6.5,0.0,Cash,2,True
2017-01-17 15:42:21,2017-01-17 15:51:41,0.8,7.0,1.55,Credit card,1,True
